episode,avg_reward,static_rewards
382,-335.41253263707574,-445.0
383,-335.6614583333333,-431.0
384,-336.03376623376624,-479.0
385,-336.33937823834196,-454.0
386,-335.1602067183463,120.0
387,-335.27319587628864,-379.0
388,-335.48071979434445,-416.0
389,-335.64871794871794,-401.0
390,-335.7928388746803,-392.0
391,-335.98724489795916,-412.0
392,-335.0356234096692,38.0
393,-335.28426395939084,-433.0
394,-335.39240506329116,-378.0
395,-335.40656565656565,-341.0
396,-335.41057934508814,-337.0
397,-335.61306532663315,-416.0
398,-335.7393483709273,-386.0
399,-335.4825,-233.0
400,-334.2219451371571,170.0
401,-332.9179104477612,190.0
402,-333.17369727047145,-436.0
403,-333.2970297029703,-383.0
404,-333.4493827160494,-395.0
405,-333.5591133004926,-378.0
406,-333.8083538083538,-435.0
407,-334.00245098039215,-413.0
408,-332.84352078239607,140.0
409,-333.12439024390244,-448.0
410,-333.374695863747,-436.0
411,-333.5898058252427,-422.0
412,-333.76271186440675,-405.0
413,-333.9927536231884,-429.0
414,-334.1590361445783,-403.0
415,-333.1394230769231,90.0
416,-332.1726618705036,70.0
417,-332.33971291866027,-402.0
418,-332.5417661097852,-417.0
419,-332.6666666666667,-385.0
420,-332.895486935867,-429.0
421,-333.0473933649289,-397.0
422,-332.59101654846336,-140.0
423,-332.9551886792453,-487.0
424,-333.2047058823529,-439.0
425,-333.55164319248826,-481.0
426,-333.864168618267,-467.0
427,-333.9789719626168,-383.0
428,-334.2237762237762,-439.0
429,-334.36511627906975,-395.0
430,-332.9628770301624,270.0
431,-333.16435185185185,-420.0
432,-333.3233256351039,-402.0
433,-333.5414746543779,-428.0
434,-333.7816091954023,-438.0
435,-333.98623853211006,-423.0
436,-333.1075514874142,50.0
437,-333.35616438356163,-442.0
438,-333.54669703872435,-417.0
439,-333.66136363636366,-384.0
440,-333.8004535147392,-395.0
441,-333.84615384615387,-354.0
442,-334.08352144469524,-439.0
443,-334.2162162162162,-393.0
444,-334.38651685393256,-410.0
445,-334.4304932735426,-354.0
446,-334.5212527964206,-375.0
447,-334.53348214285717,-340.0
448,-334.78841870824056,-449.0
449,-334.9866666666667,-424.0
450,-335.0310421286031,-355.0
451,-335.283185840708,-449.0
452,-335.61147902869754,-484.0
453,-334.6299559471366,110.0
454,-334.6945054945055,-364.0
455,-333.89473684210526,30.0
456,-333.16411378555796,0.0
457,-333.32096069868993,-405.0
458,-333.4313725490196,-384.0
459,-333.5782608695652,-401.0
460,-333.7396963123644,-408.0
461,-333.7943722943723,-359.0
462,-333.99568034557234,-427.0
463,-334.20043103448273,-429.0
464,-333.0731182795699,190.0
465,-333.29399141630904,-436.0
466,-333.41113490364023,-388.0
467,-333.47222222222223,-362.0
468,-333.64818763326224,-416.0
469,-333.64255319148936,-331.0
470,-333.8704883227176,-441.0
471,-332.2944915254237,410.0
472,-331.04228329809723,260.0
473,-331.19620253164555,-404.0
474,-330.20421052631576,140.0
475,-330.3151260504202,-383.0
476,-330.39622641509436,-369.0
477,-330.5397489539749,-399.0
478,-329.5991649269311,120.0
479,-329.64166666666665,-350.0
480,-329.7941787941788,-403.0
481,-330.04564315352695,-451.0
482,-329.07246376811594,140.0
483,-329.1528925619835,-368.0
484,-329.1814432989691,-343.0
485,-329.4259259259259,-448.0
486,-329.48049281314167,-356.0
487,-329.280737704918,-232.0
488,-329.5828220858896,-477.0
489,-328.64489795918365,130.0
490,-328.887983706721,-448.0
491,-329.0813008130081,-424.0
492,-329.1683569979716,-372.0
493,-329.3400809716599,-414.0
494,-329.53333333333336,-425.0
495,-329.6431451612903,-384.0
496,-329.83903420523137,-427.0
497,-328.9156626506024,130.0
498,-329.14629258517033,-444.0
499,-329.3,-406.0
500,-329.49700598802394,-428.0
501,-329.58565737051794,-374.0
502,-329.58250497017895,-328.0
503,-330.0257936507937,-553.0
504,-329.15445544554456,110.0
505,-329.100790513834,-302.0
506,-329.0414201183432,-299.0
507,-329.20866141732284,-414.0
508,-329.1198428290766,-284.0
509,-329.1333333333333,-336.0
510,-329.1761252446184,-351.0
511,-329.212890625,-348.0
512,-329.3411306042885,-395.0
513,-329.65953307392994,-493.0
514,-329.7844660194175,-394.0
515,-329.0096899224806,70.0
516,-329.30560928433266,-482.0
517,-329.38030888030886,-368.0
518,-329.485549132948,-384.0
519,-329.5903846153846,-384.0
520,-329.6852207293666,-379.0
521,-329.867816091954,-425.0
522,-329.8374760994264,-314.0
523,-330.05152671755724,-442.0
524,-330.10285714285715,-357.0
525,-330.24524714828897,-405.0
526,-329.94307400379506,-171.0
527,-330.094696969697,-410.0
528,-330.06994328922497,-317.0
529,-330.1,-346.0
530,-329.120527306968,190.0
531,-329.3533834586466,-453.0
532,-329.3095684803002,-306.0
533,-329.438202247191,-398.0
534,-329.5327102803738,-380.0
535,-329.51119402985074,-318.0
536,-329.5623836126629,-357.0
537,-328.7267657992565,120.0
538,-328.89053803339516,-417.0
539,-329.05185185185184,-416.0
540,-329.06284658040664,-335.0
541,-328.049815498155,220.0
542,-328.3259668508287,-478.0
543,-328.3069852941176,-318.0
544,-327.44770642201837,140.0
545,-327.5201465201465,-367.0
546,-327.75685557586837,-457.0
547,-327.9270072992701,-421.0
548,-328.08743169398906,-416.0
549,-328.2763636363636,-432.0
550,-328.2704174228675,-325.0
551,-328.30797101449275,-349.0
552,-327.2983725135624,230.0
553,-327.4332129963899,-402.0
554,-327.5963963963964,-418.0
555,-327.71942446043164,-396.0
556,-327.82405745062835,-386.0
557,-327.9910394265233,-421.0
558,-327.1896243291592,120.0
559,-327.225,-347.0
560,-327.32263814616755,-382.0
561,-327.48932384341634,-421.0
562,-327.4689165186501,-316.0
563,-326.4095744680851,270.0
564,-326.3893805309734,-315.0
565,-326.5583038869258,-422.0
566,-326.7283950617284,-423.0
567,-326.7482394366197,-338.0
568,-325.89279437609844,160.0
569,-325.9561403508772,-362.0
570,-326.08056042031524,-397.0
571,-326.2744755244755,-437.0
572,-325.63176265270505,42.0
573,-324.68118466898954,220.0
574,-324.73739130434785,-357.0
575,-324.8645833333333,-398.0
576,-324.81455805892546,-296.0
577,-324.7993079584775,-316.0
578,-323.80656303972364,250.0
579,-324.00172413793103,-437.0
580,-324.1807228915663,-428.0
581,-324.30927835051546,-399.0
582,-323.5300171526587,130.0
583,-323.6832191780822,-413.0
584,-323.77777777777777,-379.0
585,-323.9556313993174,-428.0
586,-324.0885860306644,-402.0
587,-324.2942176870748,-445.0
588,-324.4736842105263,-430.0
589,-324.5983050847458,-398.0
590,-323.42301184433165,370.0
591,-323.6081081081081,-433.0
592,-322.7925801011804,160.0
593,-322.83838383838383,-350.0
594,-323.0067226890756,-423.0
595,-323.1845637583893,-429.0
596,-323.37688442211055,-438.0
597,-322.5685618729097,160.0
598,-322.6060100166945,-345.0
599,-321.90166666666664,100.0
600,-321.72046589018305,-213.0
601,-321.9385382059801,-453.0
602,-321.56053067993366,-94.0
603,-321.66887417218544,-387.0
604,-321.801652892562,-402.0
605,-321.95379537953795,-414.0
606,-322.02800658978583,-367.0
607,-322.0986842105263,-365.0
608,-322.2216748768473,-397.0
609,-322.4983606557377,-491.0
610,-321.6595744680851,190.0
611,-321.6617647058824,-323.0
612,-321.8776508972268,-454.0
613,-321.85342019543975,-307.0
614,-320.90731707317076,260.0
615,-321.0470779220779,-407.0
616,-321.03403565640195,-313.0
617,-321.0873786407767,-354.0
618,-321.172859450727,-374.0
619,-321.30806451612904,-405.0
620,-321.2657004830918,-295.0
621,-321.54340836012864,-494.0
622,-321.65650080256825,-392.0
623,-321.7772435897436,-397.0
624,-321.912,-406.0
625,-321.98083067092654,-365.0
626,-322.09250398724083,-392.0
627,-322.11464968152865,-336.0
628,-322.24165341812403,-402.0
629,-322.05396825396826,-204.0
630,-322.1901743264659,-408.0
631,-321.15822784810126,330.0
632,-320.5876777251185,40.0
633,-320.74447949526814,-420.0
634,-320.99370078740156,-479.0
635,-321.12578616352204,-405.0
636,-321.265306122449,-410.0
637,-320.5736677115988,120.0
638,-320.75899843505476,-439.0
639,-320.1171875,90.0
640,-320.27769110764433,-423.0
641,-319.10903426791276,430.0
642,-319.248833592535,-409.0
643,-319.2422360248447,-315.0
644,-319.4,-421.0
645,-319.5866873065016,-440.0
646,-318.629057187017,300.0
647,-318.70216049382714,-366.0
648,-318.7704160246533,-363.0
649,-318.92,-416.0
650,-319.08448540706604,-426.0
651,-319.18865030674846,-387.0
652,-318.3476263399694,230.0
653,-318.37461773700306,-336.0
654,-318.41679389312975,-346.0
655,-318.5335365853659,-395.0
656,-317.30289193302895,490.0
657,-317.451367781155,-415.0
658,-317.4567526555387,-321.0
659,-317.6060606060606,-416.0
660,-316.732223903177,260.0
661,-316.49848942598186,-162.0
662,-316.5203619909502,-331.0
663,-316.64156626506025,-397.0
664,-316.7924812030075,-417.0
665,-316.87687687687685,-373.0
666,-317.05997001499253,-439.0
667,-317.1646706586826,-387.0
668,-316.45142002989536,160.0
669,-316.60746268656715,-421.0
670,-315.76304023845006,250.0
671,-315.94642857142856,-439.0
672,-315.12035661218425,240.0
673,-315.30563798219583,-440.0
674,-314.46814814814815,250.0
675,-314.64792899408286,-436.0
676,-314.84490398818315,-448.0
677,-314.9454277286136,-383.0
678,-314.62297496318115,-96.0
679,-314.78088235294115,-422.0
680,-314.201174743025,80.0
681,-314.1774193548387,-298.0
682,-314.30453879941433,-401.0
683,-314.47222222222223,-429.0
684,-314.47007299270075,-313.0
685,-313.6618075801749,240.0
686,-313.7903930131004,-402.0
687,-313.9593023255814,-430.0
688,-314.1567489114659,-450.0
689,-314.28985507246375,-406.0
690,-314.3140376266281,-331.0
691,-314.47543352601156,-426.0
692,-314.6031746031746,-403.0
693,-314.7665706051873,-428.0
694,-314.7884892086331,-330.0
695,-314.9066091954023,-397.0
696,-314.2682926829268,130.0
697,-314.3710601719198,-386.0
698,-314.47496423462087,-387.0
699,-314.5642857142857,-377.0
700,-314.56348074179743,-314.0
701,-314.6068376068376,-345.0
702,-313.8036984352774,250.0
703,-313.8849431818182,-371.0
704,-314.0468085106383,-428.0
