episode,reward,avg_reward
352,-515.0,-421.36260623229464
353,110.0,-419.861581920904
354,-506.0,-420.1042253521127
355,-496.0,-420.3174157303371
356,-380.0,-420.2044817927171
357,30.0,-418.94692737430165
358,-480.0,-419.116991643454
359,-497.0,-419.3333333333333
360,-503.0,-419.56509695290856
361,-430.0,-419.5939226519337
362,-452.0,-419.6831955922865
363,-506.0,-419.9203296703297
364,-399.0,-419.86301369863014
365,-405.0,-419.8224043715847
366,-395.0,-419.7547683923706
367,-506.0,-419.9891304347826
368,150.0,-418.44444444444446
369,-507.0,-418.6837837837838
370,-472.0,-418.8274932614555
371,-438.0,-418.8790322580645
372,-407.0,-418.84718498659515
373,-478.0,-419.0053475935829
374,-493.0,-419.2026666666667
375,150.0,-417.68882978723406
376,-478.0,-417.84880636604777
377,230.0,-416.13492063492066
378,-470.0,-416.27704485488124
379,10.0,-415.15526315789475
380,-477.0,-415.31758530183725
381,-405.0,-415.29057591623035
382,-80.0,-414.4151436031332
383,-514.0,-414.6744791666667
384,-484.0,-414.8545454545455
385,-395.0,-414.8031088082902
386,-140.0,-414.09302325581393
387,-311.0,-413.8273195876289
388,-492.0,-414.02827763496146
389,-437.0,-414.08717948717947
390,-436.0,-414.14322250639384
391,-502.0,-414.3673469387755
392,-515.0,-414.6234096692112
393,-460.0,-414.73857868020303
394,-500.0,-414.95443037974684
395,-459.0,-415.0656565656566
396,-384.0,-414.9874055415617
397,-416.0,-414.9899497487437
398,-432.0,-415.03258145363407
399,-375.0,-414.9325
400,-501.0,-415.1471321695761
401,-411.0,-415.136815920398
402,-496.0,-415.3374689826303
403,150.0,-413.93811881188117
404,-426.0,-413.9679012345679
405,-400.0,-413.9334975369458
406,-419.0,-413.94594594594594
407,-500.0,-414.15686274509807
408,-476.0,-414.3080684596577
409,-507.0,-414.53414634146344
410,-532.0,-414.81995133819953
411,-492.0,-415.00728155339806
412,-424.0,-415.02905569007265
413,-468.0,-415.15700483091786
414,-467.0,-415.2819277108434
415,-390.0,-415.22115384615387
416,-446.0,-415.294964028777
417,-390.0,-415.23444976076553
