episode,avg_reward,static_rewards
618,-456.5411954765751,-433.0
619,-456.5822580645161,-482.0
620,-456.80032206119165,-592.0
621,-456.79260450160774,-452.0
622,-456.8266452648475,-478.0
623,-456.5064102564103,-257.0
624,-456.3072,-332.0
625,-456.2252396166134,-405.0
626,-456.20574162679424,-444.0
627,-456.37420382165607,-562.0
628,-456.37996820349764,-460.0
629,-456.3888888888889,-462.0
630,-456.418383518225,-475.0
631,-456.25632911392404,-354.0
632,-456.2906793048973,-478.0
633,-456.18296529968455,-388.0
634,-455.9968503937008,-338.0
635,-456.1619496855346,-561.0
636,-456.1177394034537,-428.0
637,-456.12225705329155,-459.0
638,-456.03129890453835,-398.0
639,-455.959375,-410.0
640,-455.9219968798752,-432.0
641,-455.8582554517134,-415.0
642,-455.855365474339,-454.0
643,-455.8850931677019,-475.0
644,-455.92713178294576,-483.0
645,-455.8854489164087,-429.0
646,-455.79134466769705,-395.0
647,-455.83024691358025,-481.0
648,-455.7611710323575,-411.0
649,-455.66923076923075,-396.0
650,-455.6666666666667,-454.0
651,-455.6825153374233,-466.0
652,-455.739663093415,-493.0
653,-455.6391437308869,-390.0
654,-455.6580152671756,-468.0
655,-455.6600609756098,-457.0
656,-455.6027397260274,-418.0
657,-455.5607902735562,-428.0
658,-455.56145675265554,-456.0
659,-455.6121212121212,-489.0
660,-455.66717095310133,-492.0
661,-455.70996978851963,-484.0
662,-455.7843137254902,-505.0
663,-455.8960843373494,-530.0
664,-455.8466165413534,-423.0
665,-455.6951951951952,-355.0
666,-455.6626686656672,-434.0
667,-455.54491017964074,-377.0
668,-455.57847533632287,-478.0
669,-455.2656716417911,-246.0
670,-455.1803278688525,-398.0
671,-455.22767857142856,-487.0
672,-455.0609212481426,-343.0
673,-455.0727002967359,-463.0
674,-455.1140740740741,-483.0
675,-455.14792899408286,-478.0
676,-455.1462333825702,-454.0
677,-455.0766961651917,-408.0
678,-455.1620029455081,-513.0
679,-455.13529411764705,-437.0
680,-455.1071953010279,-436.0
681,-455.0073313782991,-387.0
682,-454.99560761347,-447.0
683,-455.0453216374269,-489.0
684,-455.1021897810219,-494.0
685,-455.16326530612247,-497.0
686,-455.2576419213974,-520.0
687,-455.3110465116279,-492.0
688,-455.43541364296084,-541.0
689,-455.41884057971015,-444.0
690,-455.4327062228654,-465.0
691,-455.4031791907515,-435.0
692,-455.2958152958153,-381.0
693,-455.28674351585016,-449.0
694,-455.3611510791367,-507.0
695,-455.3103448275862,-420.0
696,-455.3931133428981,-513.0
697,-455.3538681948424,-428.0
698,-455.22603719599425,-366.0
699,-455.1357142857143,-392.0
700,-454.9843081312411,-349.0
701,-455.15669515669515,-576.0
702,-455.11095305832146,-423.0
703,-455.08522727272725,-437.0
704,-455.2241134751773,-553.0
705,-454.8300283286119,-177.0
706,-454.9504950495049,-540.0
707,-455.0183615819209,-503.0
708,-455.06346967559944,-487.0
709,-454.987323943662,-401.0
710,-455.0478199718706,-498.0
711,-455.1980337078652,-562.0
712,-455.164095371669,-431.0
713,-455.15686274509807,-450.0
714,-455.15944055944055,-457.0
715,-455.1815642458101,-471.0
716,-455.2412831241283,-498.0
717,-455.2799442896936,-483.0
718,-455.32962447844227,-491.0
719,-455.425,-524.0
720,-455.4882108183079,-501.0
721,-455.4515235457064,-429.0
722,-455.3042876901798,-349.0
723,-455.27486187845307,-434.0
724,-455.2234482758621,-418.0
725,-455.22314049586777,-455.0
726,-455.21733149931225,-451.0
727,-455.18956043956047,-435.0
728,-455.14814814814815,-425.0
729,-455.1904109589041,-486.0
730,-455.29138166894666,-529.0
731,-455.34562841530055,-495.0
732,-455.42155525238746,-511.0
733,-455.50544959128064,-517.0
734,-455.5074829931973,-457.0
735,-455.5203804347826,-465.0
736,-455.3907734056988,-360.0
737,-455.37127371273715,-441.0
738,-455.3788903924222,-461.0
739,-455.27027027027026,-375.0
740,-455.2483130904184,-439.0
741,-455.17385444743934,-400.0
742,-455.2234185733513,-492.0
743,-455.2486559139785,-474.0
744,-454.91677852348994,-208.0
745,-454.8270777479893,-388.0
746,-454.8728246318608,-489.0
747,-454.8716577540107,-454.0
748,-454.46995994659545,-154.0
749,-454.48266666666666,-464.0
750,-454.41411451398136,-403.0
751,-454.3404255319149,-399.0
752,-454.3532536520584,-464.0
753,-454.2851458885942,-403.0
754,-454.17218543046357,-369.0
755,-454.1600529100529,-445.0
756,-454.19815059445176,-483.0
757,-454.2849604221636,-520.0
758,-454.1963109354414,-387.0
759,-454.11842105263156,-395.0
760,-454.245729303548,-551.0
761,-454.29002624671915,-488.0
762,-454.2542595019659,-427.0
763,-454.20680628272254,-418.0
764,-454.16470588235296,-422.0
765,-454.1892950391645,-473.0
766,-454.27900912646675,-523.0
767,-454.265625,-444.0
768,-454.1638491547464,-376.0
769,-454.2207792207792,-498.0
770,-454.15693904020753,-405.0
771,-454.08678756476684,-400.0
772,-454.0569210866753,-431.0
773,-454.02583979328165,-430.0
774,-454.00774193548386,-440.0
775,-454.0,-448.0
776,-453.994851994852,-450.0
777,-453.99228791773777,-452.0
778,-453.9281129653402,-404.0
779,-453.98205128205126,-496.0
780,-453.97567221510883,-449.0
781,-453.8708439897698,-372.0
782,-453.88761174968073,-467.0
783,-453.8533163265306,-427.0
784,-453.9171974522293,-504.0
785,-453.90712468193385,-446.0
786,-453.7750952986023,-350.0
787,-453.84010152284264,-505.0
788,-453.8377693282636,-452.0
789,-453.9177215189873,-517.0
790,-453.93426042983566,-467.0
791,-453.8156565656566,-360.0
792,-453.8688524590164,-496.0
793,-453.88413098236776,-466.0
794,-453.54088050314465,-181.0
795,-453.49120603015075,-414.0
796,-453.56712672521957,-514.0
797,-453.531328320802,-425.0
798,-453.52816020025034,-451.0
799,-453.58,-495.0
800,-453.59550561797755,-466.0
801,-453.6384039900249,-488.0
802,-453.65504358655045,-467.0
803,-453.5273631840796,-351.0
804,-453.5167701863354,-445.0
805,-453.48759305210916,-430.0
806,-453.52168525402726,-481.0
807,-453.4975247524753,-434.0
808,-453.5426452410383,-490.0
809,-453.62716049382715,-522.0
810,-453.55240443896423,-393.0
811,-453.5541871921182,-455.0
812,-453.6506765067651,-532.0
813,-453.45700245700243,-296.0
814,-453.4601226993865,-456.0
815,-453.43504901960785,-433.0
816,-453.4149326805386,-437.0
817,-453.45232273838633,-484.0
818,-453.45421245421244,-455.0
819,-453.5048780487805,-495.0
820,-453.4518879415347,-410.0
821,-453.4829683698297,-479.0
822,-453.2831105710814,-289.0
823,-453.22208737864077,-403.0
824,-453.30545454545455,-522.0
825,-453.24818401937046,-406.0
826,-453.2249093107618,-434.0
