======================================================================
DQN Agent Evaluation Results
======================================================================
Generated: 2025-12-08 14:57:21
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Agent Type: dqn
Games Played: 1000
Wins: 114
Win Rate: 11.40%
Evaluation Runtime: 462.75 seconds (7.71 minutes)
Model: dqn_nrs_2k.pt

HYPERPARAMETERS / CONFIGURATION
----------------------------------------------------------------------
gamma: 0.9
learning_rate: 0.001
epsilon: 1.0
decay_rate: 0.99995
min_epsilon: 0.05
batch_size: 64
discount_factor: 0.9
target_sync_steps: 1000
replay_memory_size: 50000
layout: mediumClassic
num_ghosts: 2
ghost_type: RandomGhost
max_steps: 1000
random_rewards: False
use_reward_shaping: True

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: 1298.36
Std Dev Score: 3350.45
Min Score: -671.00
Max Score: 11328.00
Median Score: 153.00

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 1823.26 moves
Min Length: 88 moves
Max Length: 2998 moves
Median Length: 1710 moves

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
620    Yes    10934.00   1306      
621    No     -482.00    2764      
622    No     350.00     2998      
623    No     -270.00    2998      
624    No     8.00       1024      
625    No     290.00     2998      
626    No     302.00     503       
627    No     -36.00     496       
628    No     354.00     737       
629    No     360.00     2998      
630    No     584.00     1428      
631    No     -90.00     2998      
632    No     66.00      252       
633    No     150.00     2998      
634    No     -498.00    472       
635    No     140.00     2998      
636    No     -201.00    331       
637    No     90.00      2998      
638    No     -368.00    2062      
639    Yes    10625.00   1633      
640    No     20.00      2998      
641    No     -22.00     1684      
642    No     -136.00    318       
643    No     444.00     678       
644    No     274.00     588       
645    No     140.00     2998      
646    Yes    10348.00   1864      
647    No     0.00       628       
648    No     150.00     2998      
649    No     350.00     2998      
650    No     -100.00    2998      
651    No     -40.00     2998      
652    No     93.00      1639      
653    No     130.00     1680      
654    No     270.00     2998      
655    No     -128.00    2364      
656    No     150.00     2998      
657    No     310.00     2998      
658    No     74.00      318       
659    No     350.00     2998      
660    No     510.00     2998      
661    No     154.00     676       
662    No     -239.00    296       
663    No     200.00     1739      
664    No     144.00     1967      
665    No     160.00     1439      
666    No     260.00     778       
667    Yes    10743.00   1879      
668    No     60.00      270       
669    No     92.00      1103      
670    No     408.00     1264      
671    No     -80.00     2998      
672    No     160.00     2998      
673    Yes    10764.00   1816      
674    No     -175.00    1724      
675    No     -380.00    359       
676    No     662.00     1012      
677    Yes    10827.00   2227      
678    No     560.00     1319      
679    No     107.00     2857      
680    No     171.00     685       
681    No     188.00     1026      
682    No     480.00     1078      
683    No     222.00     2123      
684    No     -221.00    2011      
