episode,avg_reward,static_rewards
468,-464.8443496801706,-437.0
469,-464.836170212766,-461.0
470,-464.63269639065817,-369.0
471,-464.65677966101697,-476.0
472,-464.72093023255815,-495.0
473,-464.7447257383966,-476.0
474,-464.7578947368421,-471.0
475,-464.77941176470586,-475.0
476,-464.8343815513627,-491.0
477,-464.673640167364,-388.0
478,-464.6221294363257,-440.0
479,-464.575,-442.0
480,-464.6548856548857,-503.0
481,-464.49170124481327,-386.0
482,-464.40579710144925,-423.0
483,-464.30785123966945,-417.0
484,-464.37525773195875,-497.0
485,-464.4732510288066,-512.0
486,-464.37782340862424,-418.0
487,-464.3524590163934,-452.0
488,-464.5051124744376,-539.0
489,-464.3612244897959,-394.0
490,-464.23625254582487,-403.0
491,-464.3556910569106,-523.0
492,-464.4523326572008,-512.0
493,-464.47165991902835,-474.0
494,-464.4949494949495,-476.0
495,-464.56854838709677,-501.0
496,-464.6317907444668,-496.0
497,-464.64658634538154,-472.0
498,-464.6312625250501,-457.0
499,-464.602,-450.0
500,-464.4271457085828,-377.0
501,-464.5,-501.0
502,-464.54075546719685,-485.0
503,-464.5496031746032,-469.0
504,-464.4059405940594,-392.0
505,-464.4604743083004,-492.0
506,-464.53648915187375,-503.0
507,-464.5807086614173,-487.0
508,-464.6974459724951,-524.0
509,-464.8313725490196,-533.0
510,-464.72994129158513,-413.0
511,-464.623046875,-410.0
512,-464.7563352826511,-533.0
513,-464.8054474708171,-490.0
514,-464.7631067961165,-443.0
515,-464.6608527131783,-412.0
516,-464.5899419729207,-428.0
517,-464.4517374517375,-393.0
518,-464.2350674373796,-352.0
519,-464.16153846153844,-426.0
520,-464.26103646833013,-516.0
521,-464.27777777777777,-473.0
522,-464.1950286806883,-421.0
523,-464.08015267175574,-404.0
524,-464.1714285714286,-512.0
525,-464.0399239543726,-395.0
526,-463.9506641366224,-417.0
527,-463.9488636363636,-463.0
528,-463.73724007561435,-352.0
529,-463.6716981132075,-429.0
530,-463.3145009416196,-274.0
